Stand,Betupub,Piceabi,Sorbauc,Vaccmyr,Vaccvit,Athyfil,Cornsue,Dryoexp,Gymndry,Linnabor,Lycoann,Maiabif,Melapra,Solivir,Thelphe,Trieeur,Calapur,Carebru,Descfle,Luzupil,Molicer,Bracref,Bracsta,Dicrfus,Dicrmaj,Dicrmon,Dicrsco,Hyloumb,Hylospl,Plagden,Plaglae,Plagund,Pleusch,Pohlnut,Polycom,Polyfor,Polyjun,Rhodros,Rhytlor,Rhytsub,Tetrpel,Tetrmno,Sphagir,Sphaqui,Spharus,Barbatt,Barbbar,Barbflo,Barblyc,Bleptri,Calyazu,Calyint,Calymue,Calynee,Cephbic,Cephleu,Cephlun,Cephdiv,Chilpro,Dipltax,Lepirep,Lophobt,Lophsud,Lophven,Ptilcil,Ptilpul,Cetrisl,Cladchl,Cladcon,Cladcor,Claddef,Cladfur,Cladgra,Cladsul
2,0,0,7,16,0,0,0,1,0,0,7,2,0,0,0,9,0,0,16,0,0,14,0,0,10,0,14,3,0,0,0,0,10,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,11,14,0,0,0,4,0,0,0,7,0,0,0,2,0,0,16,0,0,2,0,5,6,0,13,0,2,0,3,0,3,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,1,12,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,9,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,0,16,0,0,0,6,0,0,1,0,0,0,0,9,0,0,16,0,0,1,0,0,1,0,1,9,0,0,4,0,1,0,5,8,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,4,16,0,1,0,7,0,0,0,0,0,0,0,13,0,0,16,0,0,2,0,2,0,0,1,0,5,0,4,0,0,0,14,16,0,0,0,6,0,0,14,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,7,16,0,0,0,1,0,10,0,3,0,0,0,14,0,0,16,0,0,0,0,0,16,0,3,0,0,0,0,0,16,0,0,4,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,7,16,0,0,0,0,0,0,0,4,0,0,0,0,0,0,16,0,0,0,0,12,1,0,16,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,5,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,10,4,0,13,0,0,0,9,0,0,0,0,11,0,0,0,0,0,0,11,0,0,0,0,0,6,0,0,1,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,0,0,4,14,0,0,0,0,0,0,0,3,0,0,0,8,0,0,16,0,0,0,0,0,2,0,2,0,0,0,1,0,0,0,13,1,0,0,0,0,0,0,16,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,0,3,9,11,0,0,0,5,0,0,0,1,0,0,5,0,0,0,5,0,0,0,0,5,0,0,12,0,0,0,6,0,0,0,0,12,0,0,0,0,6,0,11,0,0,0,0,0,0,0,5,7,5,0,5,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
