Xco,Yco,VertRan,SlopeAvg,SlopeMa25,SlopeMa10,DistMSoil,SoilDMVL,SoilDMWT,CanopyCAvg,CanopyCMax,CanopyCMin,TreeInfLiv,TreeInfAll,BasalArea,CrownI,LitterI,SnowC0423,WatTab100,WatTab90,WatTab50,WatTab10,WatTab0,WatTabRan,WatTabHMi,WatTabLMa,WatTem0527,WatTem0826,WatpH0527,WatpH0826,WatECo0527,WatECo0826,WatO0527,WatO0826,SoilVolWt,SoilLossOI,SoilpHH2O,SoilpHKCl,SoilCEC,SoilBaSat,HumusC,HumusN,HumusP,HumusS,HumusExAc,HumusCa,HumusMg,HumusK,HumusNa,HumusBa,HumusFe,HumusMn,HumusSr,HumusZn,HumusAl,NVas,NMos,NSph,NHep,NCry,NTot,DCA1,DCA2,DCA3,DCA4,SSK1,SSK2,SSK3,SSK4,SSK5,SSK6,SSK7,SSK8,SSK9,SSK10
1120.6,83.4,0.395,0.624,0.423,0.697,0.489,0.520,0.468,0.163,0.037,0.320,0.275,0.819,0.464,0.109,0.192,0.218,0.547,0.553,0.545,0.547,0.558,0.537,0.508,0.671,0.543,0.573,0.160,0.150,0.297,0.299,0.576,0.586,0.383,0.759,0.265,0.229,0.559,0.236,0.547,0.465,0.616,0.413,0.675,0.383,0.346,0.539,0.537,0.492,0.813,0.139,0.444,0.412,0.739,0.433,0.840,0.400,0.703,0.945,0.801,1.51,2.96,1.51,1.49,0,1,0,0,0,0,0,0,0,0
1117.2,85.5,0.552,0.659,0.639,0.765,0.725,0.852,0.836,0.330,0.218,0.429,0.129,0.600,0.498,0.128,0.362,0.344,0.587,0.590,0.595,0.601,0.611,0.537,0.561,0.583,0.473,0.683,0.134,0.133,0.401,0.428,0.674,0.552,0.099,0.833,0.231,0.143,0.605,0.182,0.496,0.268,0.824,0.288,0.734,0.363,0.428,0.614,0.455,0.307,0.824,0.222,0.356,0.396,0.633,0.516,0.494,0.400,0.703,0.665,0.588,0.96,2.29,1.63,1.29,0,1,0,0,0,0,0,0,0,0
1114.7,87.2,0.552,0.600,0.466,0.446,0.803,0.909,0.900,0.213,0.077,0.374,0.000,0.502,0.718,0.212,0.432,0.781,0.527,0.533,0.530,0.543,0.559,0.499,0.501,0.508,0.508,0.727,0.171,0.088,0.307,0.457,0.592,0.483,0.210,0.746,0.282,0.243,0.625,0.317,0.570,0.380,0.784,0.449,0.636,0.454,0.445,0.397,0.389,0.397,0.704,0.142,0.464,0.398,0.627,0.627,0.494,0.886,0.648,0.746,0.720,0.86,1.88,1.77,1.56,0,1,0,0,0,0,0,0,0,0
1121.5,74.4,0.768,0.831,0.717,0.611,0.000,0.569,0.504,0.180,0.121,0.320,0.330,0.856,0.143,0.418,0.000,0.283,0.738,0.742,0.748,0.761,0.760,0.608,0.822,0.735,0.543,0.573,0.095,0.116,0.607,0.271,1.000,0.518,0.333,0.755,0.235,0.202,0.568,0.049,0.565,0.199,0.001,0.542,0.881,0.220,0.267,0.484,0.497,0.416,0.902,0.063,0.288,0.461,0.916,0.293,0.372,0.270,0.190,0.344,0.208,0.92,3.08,1.18,1.07,0,1,0,0,0,0,0,0,0,0
1119.3,75.8,0.671,0.673,0.466,0.261,0.381,0.610,0.574,0.483,0.218,0.596,0.445,0.767,0.143,0.322,0.277,0.607,0.492,0.456,0.435,0.448,0.452,0.574,0.506,0.269,0.480,0.637,0.084,0.322,0.549,0.340,0.662,0.471,0.222,0.618,0.357,0.346,0.655,0.328,0.625,0.296,0.004,0.792,0.643,0.483,0.465,0.359,0.491,0.495,0.549,0.151,0.488,0.439,0.772,0.433,0.550,0.400,0.324,0.540,0.439,0.96,2.34,1.77,0.92,0,1,0,0,0,0,0,0,0,0
1113.4,79.7,0.364,0.428,0.377,0.367,0.668,0.817,0.803,0.213,0.077,0.320,0.275,0.542,0.396,0.081,0.148,0.932,0.403,0.369,0.328,0.324,0.334,0.556,0.408,0.529,0.529,0.742,0.198,0.141,0.302,0.357,0.517,0.564,0.173,0.742,0.321,0.263,0.625,0.199,0.929,0.244,0.001,0.560,0.730,0.397,0.411,0.450,0.501,0.414,0.773,0.108,0.401,0.377,0.801,0.388,0.237,0.769,0.000,0.388,0.300,0.44,1.39,2.36,1.47,0,1,0,0,0,0,0,0,0,0
1110.9,81.3,0.671,0.657,0.543,0.490,0.549,0.872,0.868,0.049,0.077,0.158,0.292,0.304,0.330,0.099,0.014,0.859,0.468,0.450,0.441,0.449,0.465,0.519,0.555,0.403,0.621,0.683,0.242,0.153,0.274,0.271,0.662,0.638,0.115,0.668,0.357,0.336,0.676,0.348,0.768,0.351,0.707,0.641,0.633,0.494,0.461,0.654,0.404,0.441,0.635,0.132,0.459,0.415,0.739,0.554,0.164,0.769,0.190,0.388,0.413,0.59,1.32,2.16,1.83,0,1,0,0,0,0,0,0,0,0
1114.9,72.7,0.653,0.689,0.577,0.577,0.473,0.605,0.579,0.279,0.462,0.158,0.016,0.001,0.266,0.138,0.000,0.932,0.304,0.220,0.164,0.162,0.196,0.537,0.336,0.070,0.698,0.506,0.276,0.165,0.544,0.310,0.469,0.835,0.131,0.464,0.357,0.353,0.637,0.289,0.542,0.313,0.009,0.782,0.675,0.472,0.464,0.234,0.542,0.420,0.543,0.092,0.457,0.374,0.807,0.388,0.237,0.649,0.514,0.505,0.385,0.00,1.23,2.25,2.03,0,1,0,0,0,0,0,0,0,0
1341.3,114.7,0.529,0.622,0.506,0.341,0.202,0.382,0.300,0.535,0.462,0.540,0.611,0.602,0.718,0.494,0.591,0.218,0.658,0.625,0.615,0.575,0.582,0.704,0.636,0.606,0.567,0.540,0.722,0.573,1.000,0.733,0.568,0.552,0.921,0.003,0.574,0.612,0.221,0.576,0.553,0.674,0.128,0.438,0.345,0.549,0.423,0.634,0.416,0.713,0.375,0.820,0.544,0.738,0.630,0.846,0.882,0.137,0.429,0.720,0.840,3.43,2.40,1.80,1.48,0,0,1,0,0,0,0,0,0,0
1343.3,113.2,0.574,0.755,0.543,0.739,0.448,0.372,0.287,0.535,0.218,0.710,0.955,0.846,0.796,0.821,0.919,0.016,0.781,0.650,0.623,0.652,0.663,0.828,0.773,0.715,0.567,0.605,0.936,0.665,0.876,0.732,0.568,0.518,0.898,0.008,0.697,0.749,0.384,0.803,0.636,0.677,0.381,0.437,0.115,0.687,0.516,0.684,0.395,0.654,0.324,0.804,0.606,0.652,0.365,0.818,0.603,0.000,0.648,0.606,0.741,2.97,2.78,1.59,1.47,0,0,1,0,0,0,0,0,0,0
